Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet
2015-11-04,-0.008823616,-0.00271912,-0.003189878
2015-11-05,-4.88497E-05,-0.004845102,-0.00092708
2015-11-06,0.0033995,-0.007605304,-0.000232624
2015-11-09,-0.011153846,-0.010200833,-0.009616516
2015-11-10,0.001990612,0.006381365,0.001771068
2015-11-11,-0.005076053,-0.00458395,-0.003226613
2015-11-12,-0.019156957,-0.011508234,-0.01381179
2015-11-13,-0.008266044,-0.010011141,-0.011194744
2015-11-16,0.017003364,0.016658037,0.015078521
2015-11-17,-0.005403155,-0.006263624,-0.001128391
2015-11-18,0.01412891,0.016813182,0.016244175
2015-11-19,-0.001982575,0.000972173,-0.001080731
2015-11-20,0.000729722,0.006563802,0.00396439
2015-11-23,0.00014225,-0.00115589,-0.001193088
2015-11-24,0.002131182,0.003751756,0.001251028
2015-11-25,0.003621373,-0.007725346,-2.56564E-05
2015-11-27,-0.001045983,0.000769247,0.000813327
2015-11-30,-0.001889481,-0.005398426,-0.004588873
2015-12-01,0.004800545,0.010035237,0.010762741
2015-12-02,-0.013524602,-0.018285516,-0.010765346
2015-12-03,-0.018222867,-0.011622057,-0.014331415
2015-12-04,0.016256707,0.019289906,0.020531836
2015-12-07,-0.008621194,-0.003835938,-0.006913664
2015-12-08,-0.011532982,-0.00426929,-0.006402273
2015-12-09,-0.008228213,-0.00208377,-0.007676178
2015-12-10,0.00137962,-0.001555396,0.002361463
2015-12-11,-0.01095674,-0.013345094,-0.019264636
2015-12-14,-4.71266E-05,0.001878638,0.004822976
2015-12-15,-0.002436998,0.008314197,0.010626863
2015-12-16,0.020012702,0.01246255,0.014606953
2015-12-17,-0.016656969,-0.015475481,-0.014887223
2015-12-18,-0.014739064,-0.006420157,-0.017796019
2015-12-21,0.009282054,0.009396994,0.007895804
2015-12-22,0.023373405,0.010509467,0.008922071
2015-12-23,0.00278706,0.018310747,0.0124959
2015-12-24,-0.003615813,-0.003401562,-0.001596488
2015-12-28,-0.002483399,-0.004576733,-0.002172722
2015-12-29,0.009520643,0.005707694,0.010824831
2015-12-30,-0.012824764,-0.008398597,-0.00711611
2015-12-31,-0.004334593,-0.003691137,-0.009409264
2016-01-04,-0.008310172,-0.008334164,-0.015074838
2016-01-05,-0.002688761,0.006510654,0.00201382
2016-01-06,-0.023997875,-0.014413161,-0.012761264
2016-01-07,-0.022807096,-0.018156877,-0.023674344
2016-01-08,-0.018430076,-0.01017959,-0.010832698
2016-01-11,0.000504681,-0.007230164,0.000850967
2016-01-12,0.001064088,-0.001788824,0.007805011
